fantasymath_id,position,fleaflicker_id,espn_id,yahoo_id
jacob-hollister,TE,13175,3125404.0,30661.0
tyron-johnson,WR,15053,3894912.0,32511.0
jamal-agnew,WR,13024,3061612.0,30278.0
terry-godwin,WR,14889,3915174.0,32069.0
marvin-jones,WR,8429,15072.0,25876.0
devin-smith,WR,11231,2576395.0,28425.0
tavon-austin,WR,9328,15786.0,26631.0
laviska-shenault,WR,15558,4243160.0,32712.0
dj-chark,WR,13790,3115394.0,31031.0
michael-burton,RB,11295,2515270.0,28556.0
harrison-butker,K,13124,3055899.0,30346.0
patrick-mahomes,QB,12894,3139477.0,30123.0
chad-henne,QB,5343,11291.0,8834.0
jerick-mckinnon,RB,10310,16782.0,27624.0
darrel-williams,RB,14329,3115375.0,31500.0
clyde-edwards-helaire,RB,15539,4242214.0,32702.0
noah-gray,TE,16430,4240472.0,33550.0
travis-kelce,TE,9360,15847.0,26686.0
blake-bell,TE,11371,2514206.0,28505.0
demarcus-robinson,WR,12106,3043116.0,29360.0
mecole-hardman,WR,14725,4035004.0,31888.0
gehrig-dieter,WR,13163,2980460.0,30679.0
byron-pringle,WR,14328,4036416.0,31496.0
tyreek-hill,WR,12197,3116406.0,29399.0
marcus-kemp,WR,13469,3046399.0,30682.0
matt-gay,K,14848,4249087.0,31977.0
john-wolford,QB,14627,3124092.0,31803.0
matthew-stafford,QB,6038,12483.0,9265.0
sony-michel,RB,13750,3128721.0,31001.0
otis-anderson-jr,RB,16766,,33930.0
darrell-henderson,RB,14751,4039359.0,31902.0
jake-funk,RB,16530,4036224.0,33621.0
brycen-hopkins,TE,15645,3918003.0,32806.0
jacob-harris,TE,16369,3932144.0,33529.0
tyler-higbee,TE,12140,2573401.0,29344.0
johnny-mundt,TE,13239,3052096.0,30373.0
robert-woods,WR,9338,15880.0,26664.0
van-jefferson,WR,15564,3930066.0,32727.0
desean-jackson,WR,5324,11283.0,8826.0
cooper-kupp,WR,12970,2977187.0,30182.0
tutu-atwell,WR,16326,4360797.0,33445.0
gabe-nabers,RB,16160,4035611.0,32987.0
tristan-vizcaino,K,14646,3127313.0,31808.0
chase-daniel,QB,6353,12471.0,9678.0
justin-herbert,QB,15516,4038941.0,32676.0
joshua-kelley,RB,15622,3910544.0,32782.0
austin-ekeler,RB,13325,3068267.0,30423.0
larry-rountree,RB,16433,,
justin-jackson,RB,14018,3116136.0,31221.0
tre-mckitty,TE,16291,4240023.0,33485.0
donald-parham,TE,15183,3912092.0,32456.0
jared-cook,TE,6126,12537.0,9353.0
stephen-anderson,TE,12342,2576854.0,29789.0
keenan-allen,WR,9380,15818.0,26699.0
kj-hill,WR,15730,3915522.0,32890.0
josh-palmer,WR,16292,4242433.0,
jalen-guyton,WR,15260,3932430.0,32201.0
mike-williams-wr,WR,12890,3045138.0,30120.0
alec-ingold,RB,15279,3917668.0,32344.0
daniel-carlson,K,13947,3051909.0,31137.0
derek-carr,QB,10315,16757.0,27564.0
josh-jacobs,RB,14673,4047365.0,31856.0
kenyan-drake,RB,12101,2979843.0,29307.0
peyton-barber,RB,12499,3051902.0,29560.0
darren-waller,TE,11261,2576925.0,28592.0
derek-carrier,TE,8938,15403.0,26416.0
foster-moreau,TE,14781,3843945.0,31969.0
henry-ruggs,WR,15526,4241475.0,32682.0
zay-jones,WR,12937,3059722.0,30150.0
hunter-renfrow,WR,14836,3135321.0,31981.0
david-moore,WR,13117,4212909.0,30339.0
bryan-edwards,WR,15577,4038818.0,32751.0
willie-snead,WR,10707,17258.0,28026.0
jason-sanders,K,13977,3124679.0,31199.0
jacoby-brissett,QB,12079,2578570.0,29325.0
tua-tagovailoa,QB,15533,4241479.0,32675.0
salvon-ahmed,RB,15937,4243315.0,33265.0
myles-gaskin,RB,14897,3886818.0,32066.0
malcolm-brown,RB,11724,2570986.0,28990.0
cethan-carter,TE,13206,3040470.0,30577.0
durham-smythe,TE,13905,3052897.0,31093.0
adam-shaheen,TE,12933,4198676.0,30158.0
mike-gesicki,TE,13845,3116164.0,31012.0
hunter-long,TE,16269,4239944.0,33469.0
albert-wilson,WR,10895,17051.0,28046.0
jaylen-waddle,WR,16236,4372016.0,33394.0
mack-hollins,WR,13008,2991662.0,30231.0
jakeem-grant,WR,12182,2577641.0,29420.0
devante-parker,WR,11170,2576623.0,28402.0
brandon-powell,WR,14297,3115255.0,31641.0
will-fuller,WR,12023,3052876.0,29255.0
preston-williams,WR,14919,3915399.0,32447.0
cj-ham,RB,12694,4012556.0,29951.0
greg-joseph,K,14337,3975763.0,31538.0
kirk-cousins,QB,8625,14880.0,25812.0
kellen-mond,QB,16335,4240904.0,33454.0
